"date","NGas","oil","coal"
2011-01-21,-0.4,-0.28,-3
2011-01-24,-0.21,0.31,-1.4
2011-01-25,-0.14,-1.49,-1
2011-01-26,-0.2,1.66,0.15
2011-01-27,-0.05,0.61,0.35
2011-01-28,-0.26,0.79,1.75
2011-01-31,-0.16,1.99,-3.5
2011-02-01,0.12,0.35,0.85
2011-02-02,0.54,0.51,0.55
2011-02-03,0.31,0.78,2.2
2011-02-04,-0.01,-0.89,-0.35
2011-02-07,-0.24,-1.58,-2.6
2011-02-08,-0.25,-0.48,-0.85
2011-02-09,-0.46,1.83,0.2
2011-02-10,0.11,0.63,-1.1
2011-02-11,0.29,-0.85,0.35
2011-02-14,-0.03,2.27,0
2011-02-15,-0.14,-0.26,0.4
2011-02-16,-0.19,0.48,-0.3
2011-02-17,0.12,-0.22,0.2
2011-02-18,-0.1,-0.8,-0.05
2011-02-21,0.46,5.2,0.85
2011-02-22,0.22,-0.13,-0.15
2011-02-23,0.17,3.89,0.4
2011-02-24,0.1,7.33,0.1
2011-02-25,-0.55,-5.88,0.3
2011-02-28,0.51,0.59,0.65
2011-03-01,0.27,2.26,-0.15
2011-03-02,0.35,1.05,0.05
2011-03-03,-0.13,-0.91,1
2011-03-04,0.4,-0.41,1.4
2011-03-07,0.61,2.01,1.55
2011-03-08,-0.42,-3.21,-0.45
2011-03-09,0.24,0.89,0.15
2011-03-10,-0.33,0.37,-1.6
2011-03-11,0.7,-0.87,0.55
2011-03-14,1.34,-1.5,2.6
2011-03-15,0.06,-0.36,0.75
2011-03-16,0.57,-2.06,1.55
2011-03-17,-0.85,3.74,-1.55
2011-03-18,-0.51,1.79,-0.75
2011-03-21,-0.42,-1.07,1.9
2011-03-22,0.57,-0.13,0.95
2011-03-23,0.12,0.31,1.35
2011-03-24,0.05,-0.48,-2.75
2011-03-25,-0.42,0.21,-0.2
2011-03-28,-0.21,-0.13,0.15
2011-03-29,-0.12,-0.36,-0.95
2011-03-30,-0.5,0.06,-0.4
2011-03-31,1.42,2,2.1
2011-04-01,-0.02,1.44,1.2
2011-04-04,-0.23,2.15,2.6
2011-04-05,-0.44,1.6,-2.2
2011-04-06,-0.38,0.48,0.15
2011-04-07,-0.09,-0.48,-1.15
2011-04-08,0.13,4.02,1
2011-04-11,0.03,0.11,0.25
2011-04-12,-0.23,-1.64,-1.35
2011-04-13,-0.54,-2.12,0.1
2011-04-14,0.04,0.14,0.25
2011-04-15,0.12,0.62,0.7
2011-04-18,-0.39,-0.36,-1.2
2011-04-19,0.05,-1.37,-0.05
2011-04-20,0.08,1.94,0.15
2011-04-21,-0.45,0.58,-0.05
2011-04-26,-0.08,-0.41,0
2011-04-27,-0.4,1.4,0.15
2011-04-28,0.9,0.86,0.3
2011-04-29,0.1,-0.56,0.2
2011-05-03,-1.1,-1.08,-0.55
2011-05-04,-0.07,-1.96,0.05
2011-05-05,-0.05,-1.1,-1.95
2011-05-06,0.07,-7.72,0
2011-05-09,0.68,2.28,-0.4
2011-05-10,0.54,1.43,-1.3
2011-05-11,0.16,0.48,-0.8
2011-05-12,-0.12,-3.87,-1.4
2011-05-13,-0.41,0.36,-0.5
2011-05-16,0.3,-0.92,-0.05
2011-05-17,-0.08,-2.18,0.65
2011-05-18,0.03,1.28,0.95
2011-05-19,0.03,-0.06,0.2
2011-05-20,0.14,-0.16,0.05
2011-05-23,-0.02,-0.65,-0.4
2011-05-24,-0.02,0.42,0
2011-05-25,0.13,2.42,-0.1
2011-05-26,-0.06,0.4,-1.35
2011-05-27,0.23,0.21,0.9
2011-05-31,0.19,1.81,-0.3
2011-06-01,-0.46,-0.21,0.05
2011-06-02,-0.22,-1.33,-0.35
2011-06-03,0.11,0.3,0.95
2011-06-06,-0.21,-0.11,0.75
2011-06-07,0.06,1.29,1.75
2011-06-08,0,1.16,-0.75
2011-06-09,0.05,1.27,0.2
2011-06-10,0,0.21,-0.5
2011-06-13,0.39,0.18,0.45
2011-06-14,-0.11,0.5,0.25
2011-06-15,-0.1,0.72,-0.7
2011-06-16,-0.26,-6.53,-1.15
2011-06-17,-0.01,-0.63,-0.45
2011-06-20,-0.23,-0.93,-0.55
2011-06-21,0.03,-0.28,0.2
2011-06-22,-0.11,1.38,0.05
2011-06-23,-0.05,-1.08,-0.6
2011-06-24,-0.34,-4.7,-0.1
2011-06-27,-0.16,-1.96,-0.9
2011-06-28,0.06,2.31,1.05
2011-06-29,0.14,3.62,0.75
2011-06-30,0.06,0.57,0.1
2011-07-01,-0.52,-0.76,0.05
2011-07-04,0.14,-0.32,0.6
2011-07-05,0.1,2.28,0.75
2011-07-06,-0.05,-0.12,-0.3
2011-07-07,0.24,4.38,-0.3
2011-07-08,-0.19,1.17,-0.2
2011-07-11,-0.18,-1.47,-0.6
2011-07-12,0.1,-0.57,0
2011-07-13,-0.08,2.03,0.2
2011-07-14,-0.13,-0.46,0.05
2011-07-15,0.11,-1.65,0.05
2011-07-18,0.11,0.05,-0.25
2011-07-19,-0.11,0.65,0.15
2011-07-20,0.1,0.41,0.25
2011-07-21,-0.1,0.39,0
2011-07-22,-0.1,-0.45,0.1
2011-07-25,-0.25,-0.35,0.3
2011-07-26,-0.1,0.6,0.15
2011-07-27,-0.14,-0.55,0
2011-07-28,0.04,0.21,0.1
2011-07-29,0.98,-1.01,0.1
2011-08-01,-0.45,2.7,1.75
2011-08-02,-0.08,-2,0.65
2011-08-03,-0.12,-2.11,0.25
2011-08-04,-0.21,-2.56,-0.15
2011-08-05,0.07,-3.47,-0.2
2011-08-08,0.08,-1.76,-0.65
2011-08-09,0.37,-2.55,-0.9
2011-08-10,-0.16,1.16,0.45
2011-08-11,0.11,1.11,0.3
2011-08-12,0.15,0.94,0.35
2011-08-15,-0.1,0.84,0.1
2011-08-16,-0.07,-0.06,-0.25
2011-08-17,0.47,1.8,-0.1
2011-08-18,0.02,-0.99,-0.45
2011-08-19,-0.17,-1.35,-0.35
2011-08-22,0.43,-0.65,-0.15
2011-08-23,0.08,1.45,0.25
2011-08-24,0.6,0.8,0.1
2011-08-25,0.05,0.45,-0.05
2011-08-26,-0.5,0.25,-0.05
2011-08-30,1.7,2.55,-0.1
2011-08-31,2.46,0.94,1.15
2011-09-01,-0.41,0.17,0.5
2011-09-02,-0.6,-0.78,0.05
2011-09-05,0.15,-2.08,-0.15
2011-09-06,0.3,1.11,-0.05
2011-09-07,0.09,2.89,0.1
